jobtitle,skills
Senior Product Manager,"Do you want a chance to directly improve the customer experience for millions of customers a day? This position is a Product Manager in the Customer Experience team for Fulfillment by Amazon and Amazon Global Selling organization. Our vision is to transform global commerce by bringing selection from around the world to Customers anywhere in the world, with the same great customer experience Buyers expect from Amazon. In this role, you will set strategy and policy, build processes, and evangelize for technology solutions that allow third party Sellers from all over the world to bring hundreds of millions of new items to Amazon's 11 Marketplaces worldwide. You will determine what experience these Sellers must offer our customers, create the incentives and enforcement mechanisms to achieve this experience, and frequently audit the results. Responsibilities for this position will include creation of programs that drive improvement in our key customer experience metrics, management of global programs and stakeholders, and driving alignment for new programs at high levels of the organization. This position will also have management responsibility for product managers, data analysts, and an operations team. From Jeff Bezos' annual letter to Amazon shareholders: ""To further globalize Marketplace, we're now helping sellers in each of our geographies - and in countries where we don't have a presence - reach out to our customers in countries outside their home geographies. We hosted merchants from more than 100 different countries last year, and helped them connect with customers in 185 nations. Almost one-fifth of our overall third-party sales now occur outside the sellers' home countries, and our merchants' cross-border sales nearly doubled last year. In the EU, sellers can open a single account, manage their business in multiple languages, and make products available across our five EU websites. More recently, we've started consolidating cross-border shipments for sellers and helping them obtain ocean shipping from Asia to Europe and North America at preferential, bulk rates."" Fulfillment by Amazon (FBA) is an Amazon service for our third-party Sellers. The FBA team partners with Sellers and our Amazon Fulfillment Centers to create a seamless experience for Sellers to leverage our world-class facilities. 71% of our FBA Sellers report more than a 20% increase in unit sales after joining FBA. In a very real way, we are changing lives with the work we do. Our FBA employees wake up every day thinking about how to enable our Sellers to be successful on our platform. Enabling Seller success allows us to provide Amazon customers with unparalleled selection and pricing. FBA is a win for Sellers and a win for customers. Want to learn more about FBA? ? Seller's success stories: SellerSuccess ? A free book of stories from small businesses/sellers, authors, and innovators that are thriving on Amazon: Transformations-ebook"
Frontend/UI Developer,"Angular.JS, React, Node.js, JavaScript"
1001 Selenium Automation testing,selenium testing automation
FireEeye HX - Security Engineer,(INFORMATION SECURITY over 1 year(s) OR CYBER SECURITY over 1 year(s) OR SECURITY over 1 year(s) ) AND(FIREEYE OR FIRE EYE )
Sr. Software Storage Engineer,"C and C++, Linux, UNIX"
C++ Software Engineer,Bachelor's degree with 5 years of experience developing software applications in C++ preferably in a Linux environment is required. Experience with .NET or Java preferred.
Domestic Outsourcing Business Development Executive,"Development, IT, Network, Project, Sales"
Lead Mobile Product Manager- 12255,"Android, Mobile"
4709317 Project Planner/Scheduler,"Scheduling, Primavera 6.0, Unifier, MS Project Stadard, EIT, Construction, Pharma or Biotech"
Business Systems Analyst,"AI, Maya, Browzwear, 3D"
Lead Java Engineer,"Java and Java EE, JSF, Spring, Struts, and Hibernate"
Project Coordinator II,"Consulting, Database, Lifecycle, Management, Metrics, PMP, Project, Sales, SalesForce, Scheduling, Telecommunications"
Core Java Developer with distributed computing,Need a strong core Java Developer with some good Data experience. Must have experience with distributed computing.
Software Developer,".NET and C#, SQl"
"Mobile Automation Tester , Rate :Open Negotiable, 1 year","Manual and Automation Mobile testing experience-Desktop applications, Consumer Electronics Devices, and Websites"
Project Manager : Information Security and Risk Management,"Project Management, Operations Analysis, BANKING, (Financial Services, Wealth Management, Regulated Environment, Info Sec, Security and Risk Management,"
Informatica Admin,"Informatica Admin,Oracle,Sql"
"Software Development Engineer, Big Data","DESCRIPTION Do you want to help build a highly personalized homepage that greets each of our millions of customers worldwide every time they visit Amazon.com? Are you interested in building data pipelines that process petabytes of customer behavior data? Amazon's Homepage Personalization team develops and supports personalization and recommendations for Amazon customers across music, books, movies, fashion, and everything else that Amazon offers. We analyze petabytes of implicit and explicit feedback data on our hundreds of millions of customers and billions of products in order to guide the development of a meaningful and highly personalized homepage experience. We are looking for an experienced and forward thinking software engineer with a focus on data engineering to join our team. This person will work closely with other software engineers and machine learning scientists to design and implement predictive, scalable models for everything from product recommendations to personalized mobile content layouts. You will work directly with machine learning scientists to scale up collaborative filtering models on retail purchases, Prime Video views, Prime Music streams, and other Amazon data to deeply understand our customers. This is one of the foremost roles in data engineering with the opportunity to reach millions of customers on one of the highest traffic consumer websites in the world. If you are passionate about data engineering, software engineering and personalization at scale then we encourage you to apply. BASIC QUALIFICATIONS - BS or MS degree in computer science or related field. - Strong coding experience, preferably with Scala, Python, Java, or C++. - Strong grasp of data structures and algorithms. - Ability to explain complex issues in technical and non-technical terms. - Cares deeply about agile software practices, data driven development, and collaborating with other engineers and researchers. - Working knowledge of Hadoop, Spark, Redshift, DynamoDB, Kinesis, or other big data technologies. PREFERRED QUALIFICATIONS - Experience with supervised and unsupervised machine learning models. - Experience with collaborative filtering and recommender systems. - Experience running and evaluating AB Tests."
Sr. Business Data Analyst,"Analysis, Analyst, Business Analyst, Consulting, Data Analysis, Development, Excel, Manager, Outlook, PowerPoint, Project, SQL, Supervision"
Clinical Site Monitor,(SITE OR ON SITE OR ON-SITE ) AND(MONITOR OR MONITORING ) AND(PHARMA OR PHARMACEUTICAL COMPANIES ) AND(CRA OR CLINICAL RESEARCH ASSOCIATE )
Product QA Engineer,Telecommuting not available Travel not required
System Support Administrator,(See Job Description)
Java Developer (Ecommerce),"Looking for two-to-three Senior Java Developers with experience in eCommerce. Strong Java, Spring Framework and Hibernate ORM. The ideal candidate will have experience building their own e-commerce product or working with an existing ecommerce site. Looking for typical eCommerce experience such as PIM, PCI, shopping carts, payment gateways, catalogs, etc. Any experience with BroadLeaf, ElasticPath or KonaKart is a plus. My client will train on the eCommerce tools"
Geolocation Engineer,"Electrical Engineering degree with experience in scientific programming, especially C/C++, GPS or other navigation systems; geolocation observable processing."
Director of Product Development,"Active Secret clearance required, knowledge of product development and procedures, including knowledge of general accounting. Ability to manage a diverse range of technical operations"
Business Intelligence Development Manager,(See Job Description)
Senior. NET Developer (Temp-to-Perm),".Net, TFS, Web services, WCF, JQuery, AJAX, JavaScript, VB, VB Script, XML/XSL, CSS, architectural design patterns"
Frontend/UI Developer,"Angular.JS, React, Node.js, JavaScript"
Domestic Outsourcing Business Development Executive,"Development, IT, Network, Project, Sales"
Web Developer,"HTML, JavaScript, CSS, AJAX"
Senior Full Stack Developer,".Net, Algorithms, Developer, JavaScript, Linux, OOD, OOP, Programming, Systems, Windows"
Jr Business Analysts,"Analyst, Business Analyst, Business Requirements, Consulting, Development, Lifecycle, Management, MS Office, Project, Testing"
Manager - GFS,"10+ years of technical management experience Track record of building and delivering mission critical, 24x7 production software systems"
Java Full Stack Engineer (Angular JS is must),"Angular JS, Java/J2EE, Spring , Hibernate"
Windows Administrator,(See Job Description)
Software Engineer (Algorithm),"Algorithm Engineer , Computer vision, Open CV ,algorithm R&D experiences, Android programming will be a plus."
Sr. JavaScript Developer,"Node.js, JavaScript"
Planner/Scheduler,"SAP APO, MS Excel, BW reporting, Pharma or Biotech"
Technical Infrastructure Project Manager,Technical Infrastructure Project Manager
Business Analyst,SQL Reporting Services Suite
Project Coordinator,"Project coordinator,procurement,budget"
Sr Service Delivery Systems Administrator (DevOps) - 16-01286,"DEVOPS ENGINEER, SYSTEM ENGINEER, BUILD RELEASE ENGINEER, PYTHON, SHELL, PERL, BASH, LINUX, UNIX, RHEL, CENTOS, PERFORCE, JENKINS, MAVEN, CONTINUOUS INTEGRATION"
Oracle Business Systems Analyst,"Oracle R12 E-Business, General Ledger, Asset Management, Projects, AME, Workflow etc."
Sr. EDI Business Analyst,Telecommuting not available Travel not required
Scientific Software Specialist and BA,"Scientific Software, Business Analyst, Drug Development, biotech, pharma, data extraction, visualization SQL, R, Spotfire, user training,"
Linux Engineer,"Application, C++, Development, Engineer, Engineering, J2EE, Java, Linux, Network, Programming, Python, Shell Script, Software, System"
Front end-UI developer/UI-Web designer,Telecommuting not available Travel not required
IT Ops Support,(See Job Description)
"Senior Product Manager, Pricing - Fulfillment By Amazon","Global FBA is looking for a passionate, talented product manager to develop pricing recommendations for the global business. The ideal candidate has outstanding business acumen and judgment, intense curiosity, excellent analytical abilities, strong technical skills, superior written and verbal communication skills, and the ability to influence cross-functional teams. He/she will have a strong bias toward data driven decision making. He/she will be a self-starter, comfortable with ambiguity and juggling multiple projects, able to think big and be creative (while paying careful attention to detail), and will enjoy working in a fast-paced dynamic environment. He/she will work closely with Marketing, Operations, and Finance teams around the world. The scope for this role includes the following: Identify, develop, manage, and execute analyses to uncover areas of opportunity and present written business recommendations that will help shape the future of FBA. Drive development of quantitative models necessary for the evaluation and implementation of new pricing strategies. Collaborate with product managers to develop pricing recommendations for new features or services. Manage fee development and implementation, including long term project planning and development resource allocation. Report key insights and trends, using statistical rigor to simplify and inform the larger team of noteworthy story lines. Collaborate with finance and product management as a leader of quantitative analysis. Analyze and solve business problems at their root, stepping back to understand the broader context. Develop solutions that utilize the highest standards of analytical rigor and data integrity. Recognize and adopt best practices in reporting and analysis: data integrity, test design, analysis, validation, and documentation. Write high quality SQL code to retrieve and analyze data. Learn and understand a broad range of Amazon's data resources and know how, when, and which to use. Manage and execute entire projects or components of large projects from start to finish including project management, data gathering and manipulation, synthesis and modeling, problem solving, and communication of insights and recommendations. Build scalable database solutions when required. Participate in periodic reviews with Amazon Executive Leadership team. FBA leverages Amazon's global fulfillment and customer service network for third party sellers who want to grow their business on and off Amazon.com. FBA enables customers to take advantage of Free Super Saver Shipping and Amazon Prime on third party items, while sellers can focus on selling rather than shipping. The Sr. Product Manager will be responsible for driving analysis in an effort to improve our understanding of Seller's costs globally. The role is global in scope and includes strategy, analysis and execution for FBA in North America, Europe and Asia."
Infrastructure Production Developer,"Developer, Hardware, Java, Linux, Python, Software, Systems"
C#.NET Client/Server Developer,"C#, SQL, Stored Procedures, .NET, TCP/IP, Multithreadin"
Business Systems Analyst,B2C digital product management
Software Infrastructure C++ Developer,"Algorithms, C++, Developer, Development, JavaScript, Libraries, Linux, Network, Performance, Perl, Programming, Protocols, Python, Software, System, Systems, TCP/IP, Unix"
Account Manager,"business development, sales, staffing"
Technical Recruiter,Recruiter
Senior Technical Writer,(TECHNICAL WRITER OR TECH WRITING OR TECH WRITER ) AND(STANDARD OPERATING PROCEDURES OR SOP OR WORK INSTRUCTIONS OR PROCESS FLOWS ) AND(VISIO )
Sr. Quality Assurance Test Analyst,"Analyst, Applications, Computer, Database, Development, Excel, Java, Management, Programming, Project, Project Management, Quality, Quality Assurance, Scripts, Software, SQL, Supervision, Test, Testing, VB, Web"
Business Systems Analyst III,(See Job Description)
Automated Test Engineer,(AUTOMATED TESTING over 3 year(s) ) AND (JAVA DEVELOPER over 2 year(s) )
Senior Drupal Developer,Telecommuting not available Travel not required
Senior Devops Engineer (Contract),"DevOps Engineer, Chef, Jenkins"
Capacity Planning Engineer - 11350,"Network Engineering, IP Video Delivery, Content Delivery Networks, Linux System Admin"
Data Center Virtualization Architect,(See Job Description)
Procurement System Manager,SaaS solution Coupa
Sr. Information Risk Management Analyst,"CISSP, CISM, CISA"
Software Development Engineer,Java and C/C++
Account Coordinator II,"Consulting, Lifecycle, Manager, Management, Project, Project Management, Sales, SalesForce, Scheduling, Telecommunications"
Technical Lead Supply Chain - 12241,"Software, Retail, Buying, Demand Planning, system, Analysis, Design, Supply Chain, applications development, WebSphere, WebLogic, Oracle, DB2, SQL Server, UNIX/AIX, Windows, and Mainframe"
C++ Software Developer for Multi-Asset Risk System,"Developer, Development, HTTP, Java, JavaScript, Lifecycle, Management, Programming, Project, Python, Release, Risk Management, Scheduling, SQL, Testing"
Senior MySQL DBA,Telecommuting not available Travel not required
Manager of IS Network Engineers,(ROUTERS ) AND (FIREWALLS OR FIREWALL ) AND(MANAGER ) AND (CISCO )
(US)-Program Manager Senior,"Access, Application, Business Requirements, CASE, Consulting, Development, IT, Manager, Program Manager, Project, Telecom"
"Business Analyst - Mortgage/Equiting Lending, Lean Six Sigma Green Belt/Black Belt","Mortgage/Equiting Lending, Lean Six Sigma Green Belt/Black Belt"
DHMSM Operational Medicine Interface Developer,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi"
Information Technology Architect,"Analysis, Architecture, Business Requirements, Citrix, CSS, Development, Exchange, HTML, HTTP, IIS, Java, Linux, Management, Oracle, SQL, VMware, WebSphere, Windows"
SWIFT Messaging Specialist,"CSS, HTML, HTTP"
Technician-Systems,"VNF Manager ,CI/CD"
Angular JS / SOA / Web Developer w/ Middleware,"Architecture, CSS, Developer, Development, HTML, HTTP, IBM, J2EE, Java, jQuery, Middleware, NoSQL, Security, SOAP, Solr, SSL, Web Developer, WebSphere, XML"
BI Developer/Architect,
Soarian Clinicals Consultant (Cerner),Point of Sale System Help Desk Manager
San Storage Engineer,"Access, Brocade, Consulting, Engineer, Hardware, IT, Management, Switches, Systems, Telecom, Unix, Windows"
Java Developer,See job description
SQL Web Application Developer,"Skills & Experience Bachelors degree in Engineering, Computer Science, MIS a related IT field, or equivalent work experience. Industry certifications related to this position a plus. Minim"
Mobile Device QA Tester II,"BASIC QUALIFICATIONS: 1+ year of Mobile Device Testing (Android, IOS and/or Windows) is required. 1-2 years of relevant work experience working for wireless carrier or vendor in Product Developmen"
Processor (Screen) - 3rd Shift,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi"
Sr. Application Programmer,"Access, AML, Application, Business Requirements, Consulting, Developer, Development, IT, Java, Management, Oracle, Programmer, Software, Telecom, Testing, Unix, Web, WebSphere"
Full Stack Developer,"Access, Apache, Applications, Computer, Consulting, Developer, Development, IT, Programming, SDLC, Software, Systems, Telecom, User Interface"
Technology Manager of Analytics,"Agile, CSS, HTML, HTTP, Manager, Python"
Exhaust Processor (Exhaust) 3rd Shift,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi"
Security - InfoSec Assessment,An ideal candidate will have: A bachelors in computer science (or equivalent) degree with 6 to 10 years of documented information security work experience Demonstrated experience in
Sr. Systems Engineer - Storage (Contract-to-Hire),"High School Diploma or equivalent 7+ years of experience in Information Technology Engineering Technical certifications associated to the chosen technological track Expert working knowledge of the appropriate storage systems and physical hardware Proven history of balancing multiple priorities simultaneously with the ability to adapt to the changing needs of the business while meeting deadlines Flexibility to work evening and weekend hours as necessary Excellent verbal and written communication skills with the ability to relay technical information to a non-technical audience and effectively interact with all stakeholders including senior leadership Solid process documentation skills Expert understanding of Storage Area Networks, including solutions from EMC (VNX, VMAX, Unity, Avamar, Data Domain) and Nutanix systems Expert management experience with Cisco MDS zoning Experience managing Linux servers and environments Experience with VMware virtual server farms Experience deploying software, firmware, and updates to storage and backup environments Experience with DR planning, concepts, and strategies as it relates to storage and backup Experience managing team projects and mentoring"
"SAP Technical Lead (ERP, ECC, HANA) in Melville, NY or Davidson, NC","AP Technical Lead, SAP ERP, SAP ECC, HANA"
Audio / Visual Support Tech,"Contract Independent, Contract W2"
Auditor Analyst,"SOX, SARBANES OXLEY, SARBANES, AUDIT, FINANCE, INTERNAL CONTROL, COMPLIANCE, CONTROL"
Sr. Java Developer,See job description
COBOL Developer / Programmer,See job description
"Business Analyst - digital analytics, Google, Adobe, Tableau, ForeSee, SQL","digital analytics, Google, Adobe, Tableau, ForeSee, SQL"
Java Developer,"Access, Analysis, Analytical, Analytical Skills, Application, Applications, Architecture, Computer, Consulting, Data Architecture, Database, Developer, Development, Engineer, Engineering, IT, Java, Manager, Management, Modeling, Oracle, Programming, Project, Quality, SDLC, Security, Software, Software Engineer, SQL, Telecom, Testing, Web, XML"
Project Manager,"Access, Analytical, Computer, Consulting, Development, Engineering, IT, Manager, Management, Project, Project Management, Project Manager, Telecom"
Cyber Combat Targeteer,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi"
BA/ QA Tester,"Agile, Analysis, Automated, CSS, Development, Excel, HTML, HTTP, Middleware, MS Office, PowerPoint, Project, QA, QA Tester, Rational, Scripts, Scrum, SQL, Tester, Testing"
Business Analyst - PCI,PCI
Sustaining Engineer III,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi"
"Developer - iOS, Android, REST API, SQL, Xcode, AJAX","iOS, Android, REST API, SQL, Xcode, AJAX"
Processor (Tube Assembly),"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi"
Treasury Associate,"Access, Analytical, Analytical Skills, BASIC, Consulting, Development, Excel, IT, Management, Microsoft Word, PowerPoint, Project, Project Management, Risk Management, Telecom"
.NET Developer III MS Dynamics,".Net, Access, Analysis, API, Application, Applications, ASP, ASP.NET, Consulting, CRM, Data Analysis, Developer, Development, Engineer, Foundation, IT, JavaScript, Management, Security, Software, Software Engineer, SQL, System, Systems, Telecom, Web, XML"
.Net Architect / Manager,".Net, Access, Analyst, Application, Applications, Architect, Architecture, Change Management, Consulting, Customer Service, Development, Development Manager, Engineering, IT, Manager, Management, Performance, Quality, Re-engineering, Software, SQL, SQL Server, Systems, Telecom"
"Director, Information Security","Full Time, Full Time"
Service Technicians - Printing,"CSS, HTML, HTTP"
Reporting Analyst,"Access, Analysis, Analyst, Analytical, Analytical Skills, Business Intelligence, Cognos, Consulting, Database, Excel, IBM, IT, Management, PowerPoint, Risk Management, SAS, SQL, Telecom"
Business Development Manager,"Analysis, CRM, Development, Development Manager, Manager, Management, Networking, Sales"
IT Project Manager (Mobile Apps),"Full Time, Full Time"
Application Architect,"Access, Analysis, Analytical, API, Application, Applications, Architect, Architecture, Consulting, Development, IT, Micro, Project, QA, Security, Software, Telecom, Web"
"Director of IS, Infrastructure, Network, Best Practices, IT Policy and Procedures","Director of IS, Infrastructure, Network, Best Practices, IT Policy and Procedures, Performace Management, PMP"
Senior Java Developer - Lead,"Contract Corp-To-Corp, Contract W2, Full Time"
Business Analyst,"Access, Analysis, Analyst, Application, Business Analyst, Consulting, IT, Management, Oracle, System, Telecom"
Project Manager,"Access, Accounting, Analytical, Application, Applications, Computer, Consulting, Development, IT, Manager, Management, Project, Project Manager, Software, Supervision, System, Systems, Telecom"
Lead/Sr Data Scientist,"Machine Learning, Big Data, Java"
Computer Systems Software Engineer,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi"
Agile Developer,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi"
Testing Technical Specialist,"Agile, CSS, Development, HTML, HTTP, Java, Management, Project, Project Management, QA, Quality Center, Testing, Web Design"
Manufacturing Engineer II,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi"
Sr. Full Stack Java Developer,"Analytical Skills, Automated, CSS, Database, DB2, Developer, Development, J2EE, Java, JavaScript, JSP, MongoDB, Oracle, Project, Research, SDLC, Testing, WebSphere, XML"
System Engineer,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi"
Electronic Classroom System Administrator,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi"
Tech Support Engineer,"ALM, C++, C#, JAVA, VB.NET, CUSTOMER SUPPORT, SQL, VISUAL STUDIO, HTML5, DEVELOPMENT SUPPORT"
Java Engineer,"Agile, Analysis, Apache, Automated, CSS, Development, GIT, HTML, HTTP, J2EE, Java, JavaScript, jQuery, Management, Matlab, Modeling, Python, Research, Scrum, Security, SOAP, Web Server"
"Developer - SQL, web services, .NET","SQL, web services, .NET"
Embedded Software Engineer,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi"
Front Office Developer,"Agile, Analysis, Architecture, CSS, Database, Developer, Development, Excel, HTML, HTTP, JavaScript, jQuery, Management, Oracle, Protocol, Sales, Scrum, SDLC, SQL, VBA"
"Developer - WEB - HTML5, CSS3, JavaScript, AJAX, JQuery, ASP.NET","HTML5, CSS3, JavaScript, AJAX, JQuery, ASP.NET"
SharePoint Administrator,"CSS, HTML, HTTP, SQL"
Position Type: IT-Contract,See Job Description
Android Developers,"Algorithms, Analysis, Android, Development, iOS, Management, Scrum, Security, TDD, Testing, UX"
Java Developer,"Apache, Business Requirements, Consulting, CSS, Developer, Development, Hadoop, HTML, HTTP, Java, JavaScript, jQuery, Linux, Management, OS x, Project, Scrum, Security, Solr, Supervision, Windows, Windows 7"
Systems Administrator (VMware / Red Hat Linux),See job description
Program Scheduler V,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi"
Sales Support Analyst,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi"
Information Systems Security Design Architect CISSP Required,"Contract Independent, Contract W2"
UI/UX Designer,"CSS, Development, HTML, HTTP, JavaScript, Management, Testing, UX"
Java Application Architect,"Hand on Java Developer, Java Architect, Cassandra Information Preference Java Technologies"
Business Analyst - Business Analyst healthcare,Business Analyst healthcare
Oracle eBusiness Programmer (Oracle R12),Full Time
"Network Administrator - Cisco UCS, VMware, Citrix, Windows","Cisco UCS, VMware, Citrix, Windows"
Wireless/RF Network Engineer,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi"
Data Analyst,Property and Casualty Insurance experience / Data Analytics
HPC-Linux Administrator,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi"
Cloud Orchestration and Automation,"Architecture, CSS, Excel, HTML, HTTP, Microsoft Word, MS Office, PowerPoint"
Mechanical Engineer,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi"
"Developer - .NET, build, release, deployment, SQL",".NET, build, release, deployment, SQL"
"Developer - AngularJS,Angular, Bootstrap, Node.js, Express, JavaScript,","AngularJS,Angular, Bootstrap, Node.js, Express, JavaScript,"
Natural/ADABAS Developer,"ADABAS, Analysis, Business Requirements, Developer, Development, JCL, Programming, Project, Quality Assurance, Release, Scripts, SDLC, SQL, SQL Server, Supervision, Testing"
Facility Project Manager/Coordinator,"Contract Corp-To-Corp, Contract W2, 3-6 Months Perm Potential"
Sr. Frontend Developer (Lead),"Access, Architect, Architecture, Consulting, Developer, Development, Engineers, IT, Libraries, Performance, Project, Research, Software, Telecom"
Benefits Associate I- (Junior Role),"BENEFITS, PENSION, MEDICARE, MEDICAID, CUSTOMER SERVICE, CUSTOMER SUPPORT, CALL CENTER, BENEFITS ASSISTANT, BENEFITS ASSOCIATE, BENEFITS ADMINISTRATOR, ADMINISTRATION, ADMINISTRATIVE, ASSOCIATE, ENROLLMENT SPECIALIST"
Project Manager,"Contract Independent, 1 year"
DB Engineer,"Analysis, Architecture, CSS, Data Architecture, Data Mining, Data Modeling, HTML, HTTP, Modeling, MongoDB, NoSQL, PostgreSQL, Programming, Python, SQL"
Human Resources Recruiting Generalist,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi"
Corporate Counsel,"outbound procurement, sales and revenue generation agreements, negotiating complex IT Services and Outsourcing Agreements"
"Sr. Senior Manager of Software Engineering in Austin, TX","Technical Direction, Java, Scala, Python, big data, Hadoop, Spark, Kafka, Cassandra, HBase, agile, Infrastructure, scalability, Distributed Applications, multi-threading, designing, Development"
Windows Endpoint Security Solution Engineer/Architect (Finance industry),See job description
Network Monitoring Tools Specialist,"Bash, Consulting, Database, Development, HTTP, IBM, Java, Manager, Management, Perl, PHP, Project, Release"
Web developer (AWS and NodeJS),"Access, Application, Applications, Business Requirements, Consulting, Developer, Development, IT, Java, JavaScript, Middleware, Oracle, Performance, Python, Software, Specification, SQL, Telecom, Web, Web Developer"
Counselor- Project/Program (Admin),"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi"
Production Shipper,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi"
PeopleSoft ELM Developer:,"PeopleSoft ELM Developer:,"
Customer Service Representative,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi"
Hedge Fund Developer with C# & ASP.Net,"Contract Corp-To-Corp, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2"
Project Manager I,"Agile, Analysis, Development, Manager, Management, PMP, Project, Project Manager, Release, Risk Management, Sales"
"Manager - QA, Automation, Management, Team Development, SDLC, Agile,SOA","QA, Automation, Management, Team Development, SDLC, Agile,SOA"
Quality Assurance Tester,"Business Requirements, Consulting, Database, Development, JavaScript, Metrics, Performance Testing, Project, QA, QA Tester, Quality Assurance, SQL, Tester, Testing, XML"
Configuration Build Engineer,"AWS, Build/Release, Jenkins, Cruise Control, TeamCity, Monitoring"
E-Commerce Application Admin,"Access, Apache, Application, Architecture, Capacity Planning, Computer, Consulting, Database, Disaster Recovery, E-commerce, Ecommerce, HTTP, IT, J2EE, Linux, Management, Middleware, Network, Networking, Oracle, Perl, Protocols, Release, Shell Scripting, SQL, SQL Server, Supervisor, TCP/IP, Telecom, Web, Web Server"
Windows Desktop Engineer (Application Integration),See job description
Application Programmer V Specialist,"Development, Management, Programmer, Risk Management"
